objectid,name,average,avgweight,boardgamecategory,boardgamemechanic
133687,MimiQ,5.31317,1,['Childrens Game'],"['Acting', 'Set Collection']"
286547,Wizard W\u00fcrfelspiel,5.23759,0,['AMIGO'],"['Betting and Bluffing', 'Dice Rolling']"
80935,L'Aventure c'est dur,5.65333,1,"['Adventure', 'Fantasy']","['Adventure', 'Fantasy']"
184044,Cul-De-Sac Conquest,5.47674,1.5,['Card Game'],['Take That']
94958,Domino,5.24151,0,"['Animals', 'Childrens Game']",['Set Collection']
8560,Make 5,5.10972,1.5,['Abstract Strategy'],['Abstract Strategy']
5638,Monopoly Playmaster,5.31931,3,"['Economic', 'Electronic', 'Negotiation']","['Auction/Bidding', 'Roll / Spin and Move', 'Set Collection', 'Trading']"
20018,Aloha,5.42739,2.2,['Territory Building'],"['Push Your Luck', 'Tile Placement']"
228501,60 Seconds to Save the World,5.19175,2,['Card Game'],"['Cooperative Game', 'Hand Management', 'Push Your Luck', 'Set Collection']"
75762,ego  love,5.28485,0,"['Mature / Adult', 'Party Game']","['Betting and Bluffing', 'Voting']"
8966,Raid on Richmond,5.25135,2.6,"['American Civil War', 'Wargame']",['Chit-Pull System']
15712,Egyptian Ratscrew,5.49215,1.25,"['Action / Dexterity', 'Card Game']",['Set Collection']
8904,Cropredy Bridge  A Fleeting Victory,5.37903,3.2727,"['Civil War', 'Pike and Shot', 'Wargame']","['Dice Rolling', 'Hexagon Grid']"
103828,The Jam,5.34336,1.5,"['Card Game', 'Childrens Game']",['Hand Management']
7631,The Game of Sniglets,5.29474,3,"['Bluffing', 'Word Game']","['Bluffing', 'Word Game']"
257851,Picnic,5.35886,1,"['Card Game', 'Party Game', 'Real-time']",['Pattern Recognition']
123991,Taggle,5.47427,1,"['Card Game', 'Mature / Adult', 'Party Game']",['Voting']
145621,Mad QUAO,5.38,1.3333,"['Animals', 'Card Game', 'Party Game']",['Hand Management']
41095,Clue  Secrets & Spies Agents Secrets,5.40982,1.7222,"['Murder/Mystery', 'Spies/Secret Agents']",['Hand Management']
